timestamp	step	epoch
1653935377540	0	0.0
1653935384062	1	1.0
1653935389729	2	2.0
1653935395388	3	3.0
1653935401180	4	4.0
1653935407131	5	5.0
1653935413196	6	6.0
1653935418883	7	7.0
1653935425128	8	8.0
1653935431402	9	9.0
1653935437103	10	10.0
1653935443035	11	11.0
1653935448954	12	12.0
1653935454881	13	13.0
1653935460829	14	14.0
1653935467114	15	15.0
1653935474551	16	16.0
1653935480351	17	17.0
1653935486024	18	18.0
1653935492500	19	19.0
1653935498750	20	20.0
1653935504954	21	21.0
1653935510761	22	22.0
1653935516865	23	23.0
1653935522712	24	24.0
1653935528730	25	25.0
1653935534735	26	26.0
1653935541117	27	27.0
1653935547084	28	28.0
1653935553421	29	29.0
1653935559645	30	30.0
1653935567654	31	31.0
1653935574047	32	32.0
1653935580929	33	33.0
1653935587686	34	34.0
1653935594101	35	35.0
1653935600462	36	36.0
1653935606730	37	37.0
1653935613202	38	38.0
1653935619630	39	39.0
1653935625986	40	40.0
1653935632316	41	41.0
